Reaction ID,LB,UB
R_EXo_cu_LPAREN_e_RPAREN_,0,99999
R_EXo_cu2_LPAREN_e_RPAREN_,0,99999
R_EXo_cyan_LPAREN_e_RPAREN_,0,99999
R_EXo_cys_L_LPAREN_e_RPAREN_,0,99999
R_EXo_cytd_LPAREN_e_RPAREN_,0,99999
R_EXo_dad_2_LPAREN_e_RPAREN_,0,99999
R_EXo_damp_LPAREN_e_RPAREN_,0,99999
R_EXo_dca_LPAREN_e_RPAREN_,0,99999
R_EXo_dcmp_LPAREN_e_RPAREN_,0,99999
R_EXo_dcyt_LPAREN_e_RPAREN_,0,99999
R_EXo_ddca_LPAREN_e_RPAREN_,0,99999
R_EXo_desfbx_LPAREN_e_RPAREN_,0,99999
R_EXo_desfbx_un_LPAREN_e_RPAREN_,0,99999
R_EXo_dgmp_LPAREN_e_RPAREN_,0,99999
R_EXo_dgsn_LPAREN_e_RPAREN_,0,99999
R_EXo_dha_LPAREN_e_RPAREN_,0,99999
R_EXo_dimp_LPAREN_e_RPAREN_,0,99999
R_EXo_din_LPAREN_e_RPAREN_,0,99999
R_EXo_dtmp_LPAREN_e_RPAREN_,0,99999
R_EXo_dump_LPAREN_e_RPAREN_,0,99999
R_EXo_duri_LPAREN_e_RPAREN_,0,99999
R_EXo_enter_LPAREN_e_RPAREN_,0,99999
R_EXo_etha_LPAREN_e_RPAREN_,0,99999
R_EXo_etoh_LPAREN_e_RPAREN_,0,99999
R_EXo_fald_LPAREN_e_RPAREN_,0,99999
R_EXo_fe2_LPAREN_e_RPAREN_,0,99999
R_EXo_fe3_LPAREN_e_RPAREN_,0,99999
R_EXo_fe3dcit_LPAREN_e_RPAREN_,0,99999
R_EXo_fe3dhbzs_LPAREN_e_RPAREN_,0,99999
R_EXo_fe3hox_LPAREN_e_RPAREN_,0,99999
R_EXo_fe3hox_un_LPAREN_e_RPAREN_,0,99999
R_EXo_FEALC_LPAREN_e_RPAREN_,0,99999
R_EXo_fecrm_LPAREN_e_RPAREN_,0,99999
R_EXo_fecrm_un_LPAREN_e_RPAREN_,0,99999
R_EXo_feenter_LPAREN_e_RPAREN_,0,99999
R_EXo_feoxam_LPAREN_e_RPAREN_,0,99999
R_EXo_feoxam_un_LPAREN_e_RPAREN_,0,99999
R_EXo_for_LPAREN_e_RPAREN_,0,99999
R_EXo_fru_LPAREN_e_RPAREN_,0,99999
R_EXo_fum_LPAREN_e_RPAREN_,0,99999
R_EXo_gam_LPAREN_e_RPAREN_,0,99999
R_EXo_glc_LPAREN_e_RPAREN_,0,99999
R_EXo_glcur_LPAREN_e_RPAREN_,0,99999
R_EXo_glcur1p_LPAREN_e_RPAREN_,0,99999
R_EXo_gln_L_LPAREN_e_RPAREN_,0,99999
R_EXo_glu_L_LPAREN_e_RPAREN_,0,99999
R_EXo_gly_LPAREN_e_RPAREN_,0,99999
R_EXo_glyc_LPAREN_e_RPAREN_,0,99999
R_EXo_glyc_R_LPAREN_e_RPAREN_,0,99999
R_EXo_glyc2p_LPAREN_e_RPAREN_,0,99999
R_EXo_glyc3p_LPAREN_e_RPAREN_,0,99999
R_EXo_glyclt_LPAREN_e_RPAREN_,0,99999
R_EXo_gmp_LPAREN_e_RPAREN_,0,99999
R_EXo_gsn_LPAREN_e_RPAREN_,0,99999
R_EXo_gthox_LPAREN_e_RPAREN_,0,99999
R_EXo_gthrd_LPAREN_e_RPAREN_,0,99999
R_EXo_gua_LPAREN_e_RPAREN_,0,99999
R_EXo_h_LPAREN_e_RPAREN_,0,99999
R_EXo_h2o_LPAREN_e_RPAREN_,0,99999
R_EXo_h2o2_LPAREN_e_RPAREN_,0,99999
R_EXo_h2s_LPAREN_e_RPAREN_,0,99999
R_EXo_hdca_LPAREN_e_RPAREN_,0,99999
R_EXo_hdcea_LPAREN_e_RPAREN_,0,99999
R_EXo_hg2_LPAREN_e_RPAREN_,0,99999
R_EXo_his_L_LPAREN_e_RPAREN_,0,99999
R_EXo_hmglbn_LPAREN_e_RPAREN_,0,99999
R_EXo_hmglbn_un_LPAREN_e_RPAREN_,0,99999
R_EXo_hom_L_LPAREN_e_RPAREN_,0,99999
R_EXo_hxa_LPAREN_e_RPAREN_,0,99999
R_EXo_hxan_LPAREN_e_RPAREN_,0,99999
R_EXo_ile_L_LPAREN_e_RPAREN_,0,99999
R_EXo_imlac_LPAREN_e_RPAREN_,0,99999
R_EXo_imp_LPAREN_e_RPAREN_,0,99999
R_EXo_indac_LPAREN_e_RPAREN_,0,99999
R_EXo_indole_LPAREN_e_RPAREN_,0,99999
R_EXo_ins_LPAREN_e_RPAREN_,0,99999
R_EXo_k_LPAREN_e_RPAREN_,0,99999
R_EXo_lac_D_LPAREN_e_RPAREN_,0,99999
R_EXo_lac_L_LPAREN_e_RPAREN_,0,99999
R_EXo_LalaDgluMdap_LPAREN_e_RPAREN_,0,99999
R_EXo_LalaDgluMdapDala_LPAREN_e_RPAREN_,0,99999
R_EXo_lctfr_LPAREN_e_RPAREN_,0,99999
R_EXo_lctfr_un_LPAREN_e_RPAREN_,0,99999
R_EXo_leu_L_LPAREN_e_RPAREN_,0,99999
R_EXo_lys_L_LPAREN_e_RPAREN_,0,99999
R_EXo_mal_D_LPAREN_e_RPAREN_,0,99999
R_EXo_mal_L_LPAREN_e_RPAREN_,0,99999
R_EXo_mercplac_LPAREN_e_RPAREN_,0,99999
R_EXo_met_D_LPAREN_e_RPAREN_,0,99999
R_EXo_met_L_LPAREN_e_RPAREN_,0,99999
R_EXo_methal_LPAREN_e_RPAREN_,0,99999
R_EXo_methth_LPAREN_e_RPAREN_,0,99999
R_EXo_metsox_R_L_LPAREN_e_RPAREN_,0,99999
R_EXo_metsox_S_L_LPAREN_e_RPAREN_,0,99999
R_EXo_mg2_LPAREN_e_RPAREN_,0,99999
R_EXo_mn2_LPAREN_e_RPAREN_,0,99999
R_EXo_mobd_LPAREN_e_RPAREN_,0,99999
R_EXo_myglbn_LPAREN_e_RPAREN_,0,99999
R_EXo_myglbn_un_LPAREN_e_RPAREN_,0,99999
R_EXo_na1_LPAREN_e_RPAREN_,0,99999
R_EXo_nac_LPAREN_e_RPAREN_,0,99999
R_EXo_nh4_LPAREN_e_RPAREN_,0,99999
R_EXo_ni2_LPAREN_e_RPAREN_,0,99999
R_EXo_nmn_LPAREN_e_RPAREN_,0,99999
R_EXo_no_LPAREN_e_RPAREN_,0,99999
R_EXo_no3_LPAREN_e_RPAREN_,0,99999
R_EXo_o2_LPAREN_e_RPAREN_,0,99999
R_EXo_o2s_LPAREN_e_RPAREN_,0,99999
R_EXo_ocdca_LPAREN_e_RPAREN_,0,99999
R_EXo_ocdcea_LPAREN_e_RPAREN_,0,99999
R_EXo_octa_LPAREN_e_RPAREN_,0,99999
R_EXo_orn_LPAREN_e_RPAREN_,0,99999
R_EXo_orot_LPAREN_e_RPAREN_,0,99999
R_EXo_pacald_LPAREN_e_RPAREN_,0,99999
R_EXo_phe_D_LPAREN_e_RPAREN_,0,99999
R_EXo_phe_L_LPAREN_e_RPAREN_,0,99999
R_EXo_pheme_LPAREN_e_RPAREN_,0,99999
R_EXo_pi_LPAREN_e_RPAREN_,0,99999
R_EXo_pnto_R_LPAREN_e_RPAREN_,0,99999
R_EXo_ppa_LPAREN_e_RPAREN_,0,99999
R_EXo_ppal_LPAREN_e_RPAREN_,0,99999
R_EXo_pro_L_LPAREN_e_RPAREN_,0,99999
R_EXo_progly_LPAREN_e_RPAREN_,0,99999
R_EXo_ptrc_LPAREN_e_RPAREN_,0,99999
R_EXo_pyr_LPAREN_e_RPAREN_,0,99999
R_EXo_ser_D_LPAREN_e_RPAREN_,0,99999
R_EXo_ser_L_LPAREN_e_RPAREN_,0,99999
R_EXo_skm_LPAREN_e_RPAREN_,0,99999
R_EXo_so2_LPAREN_e_RPAREN_,0,99999
R_EXo_so3_LPAREN_e_RPAREN_,0,99999
R_EXo_so4_LPAREN_e_RPAREN_,0,99999
R_EXo_spmd_LPAREN_e_RPAREN_,0,99999
R_EXo_succ_LPAREN_e_RPAREN_,0,99999
R_EXo_tartr_L_LPAREN_e_RPAREN_,0,99999
R_EXo_taur_LPAREN_e_RPAREN_,0,99999
R_EXo_tcynt_LPAREN_e_RPAREN_,0,99999
R_EXo_thr_L_LPAREN_e_RPAREN_,0,99999
R_EXo_thymd_LPAREN_e_RPAREN_,0,99999
R_EXo_trp_L_LPAREN_e_RPAREN_,0,99999
R_EXo_trsfr_LPAREN_e_RPAREN_,0,99999
R_EXo_trsfr_un_LPAREN_e_RPAREN_,0,99999
R_EXo_tsul_LPAREN_e_RPAREN_,0,99999
R_EXo_ttdca_LPAREN_e_RPAREN_,0,99999
R_EXo_ttdcea_LPAREN_e_RPAREN_,0,99999
R_EXo_tungs_LPAREN_e_RPAREN_,0,99999
R_EXo_tyr_L_LPAREN_e_RPAREN_,0,99999
R_EXo_ump_LPAREN_e_RPAREN_,0,99999
R_EXo_ura_LPAREN_e_RPAREN_,0,99999
R_EXo_urea_LPAREN_e_RPAREN_,0,99999
R_EXo_uri_LPAREN_e_RPAREN_,0,99999
R_EXo_val_L_LPAREN_e_RPAREN_,0,99999
R_EXo_xan_LPAREN_e_RPAREN_,0,99999
R_EXo_xmp_LPAREN_e_RPAREN_,0,99999
R_EXo_xtsn_LPAREN_e_RPAREN_,0,99999
R_EXo_zn2_LPAREN_e_RPAREN_,0,99999
R_EXi_ca2_LPAREN_e_RPAREN_,0,0.136035913
R_EXi_cl_LPAREN_e_RPAREN_,0,7.451325683
R_EXi_fe3_LPAREN_e_RPAREN_,0,0.066891869
R_EXi_fe2_LPAREN_e_RPAREN_,0,0.066891869
R_EXi_h_LPAREN_e_RPAREN_,0,99999
R_EXi_h2o_LPAREN_e_RPAREN_,0,99999
R_EXi_k_LPAREN_e_RPAREN_,0,6.356802485
R_EXi_mg2_LPAREN_e_RPAREN_,0,0.491883915
R_EXi_na1_LPAREN_e_RPAREN_,0,106.8775717
R_EXi_nac_LPAREN_e_RPAREN_,0,0.032491268
R_EXi_o2_LPAREN_e_RPAREN_,0,99999
R_EXi_pi_LPAREN_e_RPAREN_,0,3.674039239
R_EXi_ac_LPAREN_e_RPAREN_,0,125
R_EXi_acac_LPAREN_e_RPAREN_,0,125
R_EXi_acald_LPAREN_e_RPAREN_,0,125
R_EXi_acgal_LPAREN_e_RPAREN_,0,125
R_EXi_acgam_LPAREN_e_RPAREN_,0,125
R_EXi_acser_LPAREN_e_RPAREN_,0,125
R_EXi_akg_LPAREN_e_RPAREN_,0,125
R_EXi_ala_L_LPAREN_e_RPAREN_,0,125
R_EXi_arg_L_LPAREN_e_RPAREN_,0,125
R_EXi_asn_L_LPAREN_e_RPAREN_,0,125
R_EXi_asp_L_LPAREN_e_RPAREN_,0,125
R_EXi_bhb_LPAREN_e_RPAREN_,0,125
R_EXi_but_LPAREN_e_RPAREN_,0,125
R_EXi_cit_LPAREN_e_RPAREN_,0,125
R_EXi_cys_L_LPAREN_e_RPAREN_,0,125
R_EXi_dha_LPAREN_e_RPAREN_,0,125
R_EXi_etoh_LPAREN_e_RPAREN_,0,125
R_EXi_fald_LPAREN_e_RPAREN_,0,125
R_EXi_for_LPAREN_e_RPAREN_,0,125
R_EXi_fru_LPAREN_e_RPAREN_,0,125
R_EXi_fum_LPAREN_e_RPAREN_,0,125
R_EXi_gam_LPAREN_e_RPAREN_,0,125
R_EXi_glc_LPAREN_e_RPAREN_,0,125
R_EXi_gln_L_LPAREN_e_RPAREN_,0,125
R_EXi_glu_L_LPAREN_e_RPAREN_,0,125
R_EXi_gly_LPAREN_e_RPAREN_,0,125
R_EXi_glyc_LPAREN_e_RPAREN_,0,125
R_EXi_glyc_R_LPAREN_e_RPAREN_,0,125
R_EXi_glyclt_LPAREN_e_RPAREN_,0,125
R_EXi_gthox_LPAREN_e_RPAREN_,0,10
R_EXi_gthrd_LPAREN_e_RPAREN_,0,10
R_EXi_h2s_LPAREN_e_RPAREN_,0,10
R_EXi_his_L_LPAREN_e_RPAREN_,0,125
R_EXi_hom_L_LPAREN_e_RPAREN_,0,125
R_EXi_ile_L_LPAREN_e_RPAREN_,0,125
R_EXi_lac_D_LPAREN_e_RPAREN_,0,125
R_EXi_lac_L_LPAREN_e_RPAREN_,0,125
R_EXi_leu_L_LPAREN_e_RPAREN_,0,125
R_EXi_lys_L_LPAREN_e_RPAREN_,0,125
R_EXi_mal_D_LPAREN_e_RPAREN_,0,125
R_EXi_mal_L_LPAREN_e_RPAREN_,0,125
R_EXi_mercplac_LPAREN_e_RPAREN_,0,10
R_EXi_met_L_LPAREN_e_RPAREN_,0,125
R_EXi_methal_LPAREN_e_RPAREN_,0,10
R_EXi_methth_LPAREN_e_RPAREN_,0,10
R_EXi_nh4_LPAREN_e_RPAREN_,0,25
R_EXi_orn_LPAREN_e_RPAREN_,0,125
R_EXi_phe_L_LPAREN_e_RPAREN_,0,125
R_EXi_ppa_LPAREN_e_RPAREN_,0,125
R_EXi_ppal_LPAREN_e_RPAREN_,0,125
R_EXi_pro_L_LPAREN_e_RPAREN_,0,125
R_EXi_pyr_LPAREN_e_RPAREN_,0,125
R_EXi_ser_L_LPAREN_e_RPAREN_,0,125
R_EXi_so2_LPAREN_e_RPAREN_,0,10
R_EXi_so3_LPAREN_e_RPAREN_,0,10
R_EXi_so4_LPAREN_e_RPAREN_,0,10
R_EXi_succ_LPAREN_e_RPAREN_,0,125
R_EXi_tartr_L_LPAREN_e_RPAREN_,0,125
R_EXi_taur_LPAREN_e_RPAREN_,0,10
R_EXi_tcynt_LPAREN_e_RPAREN_,0,10
R_EXi_thr_L_LPAREN_e_RPAREN_,0,125
R_EXi_trp_L_LPAREN_e_RPAREN_,0,125
R_EXi_tsul_LPAREN_e_RPAREN_,0,10
R_EXi_tyr_L_LPAREN_e_RPAREN_,0,125
R_EXi_urea_LPAREN_e_RPAREN_,0,125
R_EXi_val_L_LPAREN_e_RPAREN_,0,125
R_BP_biomass_130704,1,1
