Time_[h],R_EX_for_e_,R_biomass_LBUL10_bulg,sumQpcrBul,R_biomass_LBUL10_bulg_log,R_biomass_STR_ther,sumQpcrTher,R_biomass_STR_ther_log,R_EX_lcts_e_,R_EX_lac_L_e_,R_EX_gal_e_,R_EX_succ_e_,R_EX_val_L_e_,R_EX_ser_L_e_,R_EX_gln_L_e_,R_EX_lys_L_e_,R_EX_leu_L_e_,R_EX_met_L_e_,R_EX_trp_L_e_,R_EX_phe_L_e_,R_EX_ile_L_e_,R_EX_ac_e_,R_EX_pyr_e_
19.6,-0.317857613969,0.00287266951151,463549736.181,0.03924888506,1.34781649401e-06,1369765064.28,0.00143584052913,-0.572792439703,1.36700785388,0.576845094811,-0.191290027539,0.0349377876599,0.0160271541294,0.0275469277504,0.00909029218143,0.0195616634067,0.0016161041655,8.52512988899e-05,0.00748000880976,0.017971744694,-0.121004773234,-0.00957301485968
19.7,-0.315917186397,0.00264577409152,463677637.935,0.0391385411545,1.2087136813e-06,1369765239.2,0.0013704849267,-0.562951740517,1.34000586059,0.565173696216,-0.190046101492,0.0345597954734,0.0157864000049,0.0271706363857,0.00895197329845,0.0193473833596,0.0015835458297,8.20882788619e-05,0.00742189846806,0.0178659241849,-0.120838164936,-0.00936108938354
19.8,-0.313955230841,0.00242361956549,463795163.958,0.0390187938282,1.08396710562e-06,1369765396.06,0.00130191700732,-0.553311117227,1.31362179388,0.553781615192,-0.188784098738,0.0341817131705,0.0155479768705,0.0267933538914,0.00881526843922,0.0191341821946,0.00155172251871,7.90572352083e-05,0.00736392637803,0.0177578944663,-0.120672617019,-0.00915325067923
19.9,-0.311972810604,0.00220557180216,463902511.559,0.038888898207,9.72095120808e-07,1369765536.74,0.00122981953674,-0.543866058693,1.28784021221,0.542661315051,-0.187504962371,0.0338037405768,0.0153119380577,0.0264154352712,0.00868019050388,0.0189221140894,0.00152061705161,7.61520703659e-05,0.00730610415927,0.0176477517111,-0.120508117406,-0.00894947659759
20.0,-0.309970959665,0.00199099806637,463999849.527,0.0387480608849,8.71768994547e-07,1369765662.9,0.00115385902175,-0.534612158558,1.2626460657,0.531805478287,-0.18620962229,0.0334260701072,0.0150783321567,0.026037221418,0.0085467503548,0.0187112304363,0.00149021260617,7.33669946353e-05,0.00724844300932,0.017535591263,-0.120344654218,-0.00874974063122
20.1,-0.307950683981,0.00177926514855,464087318.091,0.0385954362236,7.81797126939e-07,1369765776.04,0.00107368418178,-0.525545113079,1.23802468747,0.52120700009,-0.184898994582,0.033048886834,0.0148472032011,0.0256590390838,0.00841495691306,0.018501579913,0.00146049271587,7.06965093943e-05,0.00719095371189,0.017421507546,-0.120182215767,-0.00855401227292
20.2,-0.305912962691,0.00156973745113,464165028.783,0.0384301224165,7.01110897788e-07,1369765877.5,0.000988924340449,-0.51666071897,1.21396178504,0.510858982032,-0.183573980955,0.0326723685648,0.0146185908491,0.0252812008955,0.00828481725234,0.018293208554,0.00143144126655,6.81353912887e-05,0.00713364664506,0.0173055939799,-0.120020790555,-0.00836225735698
20.3,-0.303858749249,0.0013617750268,464233064.238,0.0382511573005,6.28751974477e-07,1369765968.49,0.00089918772989,-0.507954871263,1.19044343183,0.500754725924,-0.182235468214,0.0322966859299,0.0143925305637,0.0249040054133,0.00815633669037,0.0180861598214,0.00140304249272,6.56786773398e-05,0.00707653178952,0.0171879429005,-0.11986036727,-0.00817443838319
20.4,-0.301788972467,0.00115473156356,464291477.895,0.0380575138993,5.63860929732e-07,1369766050.09,0.00080405970031,-0.499423561199,1.16745605872,0.490887727847,-0.180884327791,0.0319220024788,0.014169053789,0.0245277372268,0.00802951887777,0.017880474676,0.00137528097356,6.3321650914e-05,0.00701961873681,0.017068645484,-0.119700934781,-0.00799051482436
20.5,-0.299704537491,0.000947952310684,464340293.628,0.0378480956801,5.05667034079e-07,1369766123.27,0.000703100827113,-0.491062874138,1.14498644571,0.481251672343,-0.179521415302,0.0315484747846,0.013948188124,0.0241526670882,0.00790436588433,0.0176761916486,0.00134814162869,6.10598284999e-05,0.00696291669756,0.0169477916775,-0.119542482132,-0.00781044341739
20.6,-0.297606326708,0.000740771940141,464379505.274,0.0376217315039,4.53479101757e-07,1369766188.89,0.000595844907175,-0.482868987494,1.12302171368,0.471840426773,-0.178147570163,0.0311762525557,0.0137299574927,0.0237790520776,0.0077808782826,0.0174733469102,0.00132160971366,5.88889472455e-05,0.00690643450973,0.0168254701333,-0.119384998546,-0.00763417843846
20.7,-0.29549520059,0.000532512337172,464409076.077,0.03737717025,4.06677281382e-07,1369766247.74,0.000481796835721,-0.474838168703,1.10154931627,0.462648035836,-0.176763615237,0.0308054787537,0.0135143823108,0.0234071357986,0.00765905522891,0.0172719743424,0.00129567081532,5.68049532081e-05,0.00685018064679,0.0167017681485,-0.119228473411,-0.00746167196274
20.8,-0.293371998474,0.000322480313795,464428938.041,0.0371130750944,3.64705693849e-07,1369766300.52,0.000360430354568,-0.466966773216,1.08055703182,0.453668716241,-0.175370356522,0.0304362897181,0.0133014796489,0.0230371486008,0.00753889454174,0.0170721056075,0.00127031084688,5.48039902737e-05,0.00679416322591,0.0165767716094,-0.119072896284,-0.00729287410919
20.9,-0.291237539295,0.000109965238638,464438991.17,0.0368280174198,3.27065830035e-07,1369766347.85,0.000231185662119,-0.459251242517,1.06003295554,0.444896851536,-0.173968582883,0.030068815295,0.0130912633913,0.0226693078257,0.00742039277747,0.0168737702171,0.00124551604297,5.28823897068e-05,0.00673839001609,0.0164505649397,-0.118918256888,-0.00712773327081
21.0,-0.289092622264,-0.000105763423723,464439102.622,0.0365204703345,2.93310629901e-07,1369766390.3,9.34668749193e-05,-0.45168810218,1.03996549169,0.436326987086,-0.172559065813,0.0297031789716,0.0128837443913,0.0223038180758,0.00730354530348,0.0166769956007,0.00122127295445,5.10366602906e-05,0.00668286844625,0.0163232310539,-0.1187645451,-0.00696619633091
21.1,-0.286938027495,-0.000325458670987,464429105.748,0.036188801777,2.63039172652e-07,1369766428.37,-5.33606699435e-05,-0.44427395995,1.02034334592,0.427953825195,-0.171142559239,0.0293394980138,0.0126789306224,0.0219408715009,0.00718834636869,0.0164818071736,0.00119756844317,4.92634790241e-05,0.00662760561325,0.0161948513147,-0.11861175096,-0.00680820886602
21.2,-0.284774516594,-0.000549898626231,464408799.024,0.035831267182,2.35891914904e-07,1369766462.5,-0.00020997328294,-0.437005503861,1.00115551781,0.419772220377,-0.169719799355,0.0289778836079,0.0124768273244,0.0215806481017,0.00707478917152,0.0162882284032,0.00117438967665,4.75596823417e-05,0.00657260828987,0.0160655054951,-0.118459864657,-0.00665371533576
21.3,-0.282602833209,-0.000779889313389,464377944.866,0.0354460016816,2.11546420298e-07,1369766493.12,-0.000377091972634,-0.429879500382,0.982391293479,0.411777174764,-0.168291504491,0.0286184410046,0.0122774371468,0.0212233160477,0.00696286592534,0.0160962808753,0.00115172412266,4.59222578238e-05,0.00651788293274,0.0159352717439,-0.118308876533,-0.00650265926042
21.4,-0.280423703528,-0.00101626755284,464336268.333,0.0350310118172,1.89713529838e-07,1369766520.57,-0.000555485691255,-0.422892792599,0.964040238325,0.403963833647,-0.166858375017,0.028261269666,0.0120807602864,0.020869032007,0.00685256792138,0.0159059843588,0.00112955954377,4.43483363705e-05,0.00646343569012,0.0158042265555,-0.118158777077,-0.00635498338664
21.5,-0.278237836766,-0.00125990398502,464283455.701,0.0345841667336,1.70133927474e-07,1369766545.19,-0.000745974788575,-0.416042298425,0.946092189952,0.396327481153,-0.165421093275,0.0279064634142,0.0118867946218,0.0205179414851,0.00674388558922,0.0157173568695,0.00110788399183,4.283518481e-05,0.00640927240971,0.0156724447444,-0.118009556923,-0.00621062984176
21.6,-0.276045925594,-0.00151170623005,464219152.913,0.0341031888292,1.52575060135e-07,1369766567.27,-0.000949434688099,-0.40932500885,0.928537251207,0.388863536059,-0.163980323537,0.0275541105809,0.0116955358424,0.0201701791733,0.00663680855482,0.0155304147328,0.00108668580246,4.13801989159e-05,0.00635539864628,0.0155399994216,-0.117861206846,-0.00606954027736
21.7,-0.27384864656,-0.00177262219164,464142963.9,0.0335856438344,1.36828375632e-07,1369766587.07,-0.00116679980028,-0.40273798622,0.911365783362,0.381567547716,-0.162536711995,0.0272042941594,0.0115069775741,0.0198258693013,0.00653132569624,0.0153451726456,0.0010659535895,3.99808968098e-05,0.00630181966928,0.0154069619769,-0.11771371776,-0.00593165600256
21.8,-0.271646660469,-0.00204364351348,464054448.759,0.0330289302892,1.22706845623e-07,1369766604.83,-0.00139906768826,-0.396278362549,0.894568399449,0.374435192111,-0.161090886779,0.0268570919557,0.0113211115001,0.0194851259959,0.00642742519697,0.0151616437362,0.0010456762395,3.8634912727e-05,0.00624854047033,0.0152734020625,-0.117567080715,-0.00579691810742
21.9,-0.269440612744,-0.0023258091963,463953121.791,0.0324302683928,1.10042744225e-07,1369766620.76,-0.00164730350246,-0.389943337866,0.878135957727,0.367462268041,-0.159643457994,0.0265125767404,0.0111379274777,0.0191480536414,0.00632509459712,0.0149798396244,0.00102584290616,3.73399911225e-05,0.00619556577061,0.0151393875814,-0.117421286896,-0.00566526757718
22.0,-0.267231133764,-0.00262020938402,463838449.402,0.0317866881969,9.86856558854e-08,1369766635.04,-0.001912644701,-0.383730178593,0.862059555293,0.360644693406,-0.158195017786,0.0261708164012,0.0109574136504,0.0188147472415,0.00622432084224,0.0147997704784,0.00100644300486,3.60939810995e-05,0.00614290002816,0.0150049846785,-0.117276327618,-0.00553664539755
22.1,-0.265018839175,-0.00292798932702,463709847.84,0.0310950171152,8.85006888507e-08,1369766647.84,-0.0021963060741,-0.377636215963,0.846330521841,0.353978501612,-0.156746140428,0.0258318740939,0.0107795565565,0.0184852927821,0.00612509033012,0.0146214450726,0.000987466207119,3.48948311396e-05,0.00609054744509,0.0148702577347,-0.117132194324,-0.00541099265178
22.2,-0.262804330193,-0.0032503535305,463566680.785,0.0303518667225,7.93668730186e-08,1369766659.33,-0.00249958509094,-0.371658844458,0.830940413554,0.347459838091,-0.155297382429,0.0254958083936,0.0106043412329,0.0181597675913,0.00602738895541,0.0144448708424,0.000968902435213,3.37405841195e-05,0.00603851197466,0.0147352693638,-0.116988878585,-0.00528825060976
22.3,-0.260588193876,-0.00358857009562,463408256.775,0.029553618818,7.1175723139e-08,1369766669.63,-0.00282386758887,-0.365795520296,0.81588100714,0.341084956919,-0.153849282658,0.025162673444,0.0104317513153,0.0178382406989,0.00593120215228,0.0142700539387,0.000950741856732,3.26293725951e-05,0.00598679732828,0.0146000804126,-0.116846372092,-0.00516836080969
22.4,-0.258371003392,-0.00394397526069,463233826.472,0.0286964107306,6.38299503018e-08,1369766678.87,-0.00317063382525,-0.360043759936,0.801144294006,0.334850217543,-0.152402362497,0.0248325191065,0.010261769134,0.0175207731911,0.005836514935,0.014096999281,0.000932974879238,3.15594143403e-05,0.00593540698235,0.0144647499633,-0.11670466666,-0.00505126513268
22.5,-0.256153318262,-0.00431797814917,463042579.752,0.0277761198424,5.72423064071e-08,1369766687.15,-0.00354146491329,-0.354401138622,0.786722474571,0.328752081612,-0.150957125996,0.0245053911068,0.0100943758062,0.0172074185616,0.00574331193672,0.0139257106083,0.000915592144967,3.05290081234e-05,0.00588434418511,0.0143293353385,-0.116563754223,-0.00493690587081
22.6,-0.253935684599,-0.00471206573047,462833642.633,0.0267883473169,5.13345478925e-08,1369766694.58,-0.00393804966406,-0.348865288962,0.772607952712,0.322787109896,-0.149514060061,0.0241813311805,0.0099295513241,0.0168982230575,0.00565157744629,0.0137561905301,0.000898584525581,2.95365297096e-05,0.00583361196317,0.0141938921082,-0.11642362683,-0.0048252257889
22.7,-0.251718635325,-0.00512780799881,462606074.022,0.0257284010137,4.603650641e-08,1369766701.24,-0.00436219185741,-0.343433899529,0.758793330346,0.31695195931,-0.148073634643,0.0238603772169,0.00976727463917,0.0165932260196,0.00556129544332,0.0135884405753,0.000881943116996,2.85804280754e-05,0.00578321312818,0.0140584740999,-0.116284276647,-0.00471616818041
22.8,-0.249502690389,-0.00556686337418,462358862.285,0.0245912775852,4.12852554152e-08,1369766707.22,-0.00481581796567,-0.338104713505,0.745271402142,0.311243380027,-0.146636302952,0.0235425633999,0.00960752374328,0.0162924602159,0.00547244963155,0.0134224612395,0.00086565923427,2.76592218235e-05,0.00573315028314,0.0139231334099,-0.116145695949,-0.00460967691792
22.9,-0.247288356966,-0.00603098432818,462090921.642,0.0233716437498,3.70243627686e-08,1369766712.58,-0.00530098535417,-0.332875527343,0.732035150369,0.305658212677,-0.145202501672,0.0232279203474,0.00945027574564,0.0159959521681,0.00538502347041,0.0132582520315,0.000849724406564,2.67714957866e-05,0.00568342582878,0.0137879204169,-0.116007877123,-0.00450569649837
23.0,-0.245076129645,-0.00652202323598,461801088.381,0.0220638167485,3.32032204737e-08,1369766717.38,-0.00581989098368,-0.327744189472,0.719077739866,0.300193385637,-0.143772651203,0.0229164752486,0.00929550694665,0.0157037224713,0.0052990002051,0.0130958115187,0.000834130372178,2.59158978096e-05,0.00563404196974,0.0136528837976,-0.115870812665,-0.00440417208353
23.1,-0.242866490622,-0.00704193845365,461488116.898,0.0206617439985,2.97764435896e-08,1369766721.69,-0.00637488064002,-0.32270859902,0.706392513142,0.294845912405,-0.142347155896,0.0226082519978,0.00914319290812,0.0154157861049,0.00521436289504,0.0129351373704,0.00081886907366,2.50911357007e-05,0.00558500072061,0.0135180705437,-0.115734495176,-0.00430504953598
23.2,-0.240659909874,-0.00759280061804,461150675.556,0.0191589819683,2.67033311801e-08,1369766725.55,-0.00696845871649,-0.317766704576,0.693972985598,0.289612889055,-0.140926404316,0.0223032713266,0.00899330852038,0.0151321527357,0.00513109444078,0.0127762264007,0.000803932653,2.42959743402e-05,0.00553630391191,0.0133835259808,-0.115598917361,-0.00420827545084
23.3,-0.238456845327,-0.0081767991634,460787342.381,0.0175486743129,2.39473828954e-08,1369766729.02,-0.00760329857507,-0.312916502976,0.681812840875,0.284491491768,-0.139510769497,0.0220015509327,0.00884582806607,0.0148528270126,0.0050491776095,0.0126190746096,0.000789313446898,2.35292329409e-05,0.00548795319591,0.0132492937884,-0.115464072029,-0.00411379718359
23.4,-0.236257743029,-0.00879624904637,460396600.591,0.0158235293205,2.14758654462e-08,1369766732.13,-0.00828225351201,-0.308156038118,0.669905926318,0.279478974445,-0.138100609219,0.0217031056067,0.00870072528088,0.0145778088522,0.00496859505915,0.0124636772227,0.000775003982114,2.27897824491e-05,0.00543995005238,0.0131154160218,-0.115329952088,-0.00402156287422
